"","superhost","pax","bedrooms","price","review_rating","latitude","longitude","entire_home","hotel_room","shared_room","mininmum_nights","maximum_nights","availability_365","number_of_reviews","fullyBooked","instant_bookable"
"142","FALSE",4,2,1500,4.8,-34.01501,18.36165,1,0,0,2,1124,198,20,FALSE,"FALSE"
"143","FALSE",6,3,1800,4.93,-34.18086,18.42311,1,0,0,3,180,298,15,FALSE,"FALSE"
"144","TRUE",2,1,700,4.65,-33.92607,18.42532,1,0,0,3,1125,322,31,FALSE,"FALSE"
"145","TRUE",2,1,581,4.54,-33.93011,18.40566,0,0,0,2,1125,364,39,FALSE,"FALSE"
"146","FALSE",2,1,1200,3,-34.00828,18.34458,1,0,0,2,180,365,2,FALSE,"FALSE"
"147","FALSE",2,1,1130,4.86,-33.97675,18.47225,1,0,0,2,330,271,74,FALSE,"FALSE"
"148","FALSE",8,4,7531,4.5,-34.11762,18.37963,1,0,0,10,20,358,2,FALSE,"FALSE"
"149","TRUE",2,1,1171,4.74,-33.92222,18.41999,1,0,0,2,90,302,32,FALSE,"TRUE"
"150","TRUE",2,1,520,4.76,-33.91233,18.41226,1,0,0,3,1125,156,76,FALSE,"FALSE"
"151","FALSE",4,2,1056,4.85,-33.87805,18.4963,1,0,0,4,90,274,13,FALSE,"FALSE"
"152","FALSE",2,1,600,5,-33.96002,18.48096,0,0,0,1,1125,302,2,FALSE,"FALSE"
"153","FALSE",2,1,550,4.83,-33.91278,18.41511,1,0,0,4,1125,252,53,FALSE,"FALSE"
"154","FALSE",6,3,2143,3.5,-33.893059,18.482252,1,0,0,2,1125,318,6,FALSE,"FALSE"
"155","FALSE",4,2,4784,4.6,-33.95952,18.3757,1,0,0,4,30,241,10,FALSE,"TRUE"
"156","FALSE",10,5,8124,4.83,-33.96061,18.37578,1,0,0,3,30,258,12,FALSE,"TRUE"
"157","FALSE",14,7,9593,4.91,-33.96041,18.37494,1,0,0,3,30,285,11,FALSE,"TRUE"
"158","FALSE",8,4,5574,5,-33.96065,18.37492,1,0,0,1,30,288,4,FALSE,"TRUE"
"159","FALSE",2,1,950,4.95,-33.95111,18.48185,1,0,0,3,1125,360,42,FALSE,"FALSE"
"160","FALSE",5,3,2070,5,-33.82998,18.50052,1,0,0,14,365,326,4,FALSE,"FALSE"
"161","FALSE",5,3,1300,4.75,-34.08967,18.46343,1,0,0,5,1125,90,4,FALSE,"FALSE"
"162","FALSE",3,2,1700,5,-33.96331,18.37749,1,0,0,3,365,271,6,FALSE,"FALSE"
"163","FALSE",8,4,5500,4.86,-34.01217,18.35776,1,0,0,7,14,281,7,FALSE,"FALSE"
"164","FALSE",2,1,933,3.67,-33.92368,18.42208,1,0,0,2,1125,103,5,FALSE,"TRUE"
"165","FALSE",2,1,933,4.38,-33.92439,18.42294,1,0,0,1,1125,99,8,FALSE,"TRUE"
"166","FALSE",4,2,1010,4.1,-33.92479,18.42163,1,0,0,1,1125,77,10,FALSE,"TRUE"
"167","FALSE",1,1,330,4.94,-33.99796,18.46698,0,0,0,2,1125,258,16,FALSE,"FALSE"
"168","TRUE",5,3,5286,4.7,-33.93998,18.3754,1,0,0,3,1125,352,10,FALSE,"FALSE"
"169","FALSE",2,1,933,3.67,-33.92344,18.42298,1,0,0,2,1125,89,3,FALSE,"TRUE"
"170","FALSE",4,2,1072,4.44,-33.92486,18.42288,1,0,0,1,1125,58,9,FALSE,"TRUE"
"171","FALSE",12,6,10500,4.62,-33.95875,18.38149,1,0,0,2,1125,150,46,FALSE,"FALSE"
"172","FALSE",2,1,976,3.5,-33.92345,18.42201,1,0,0,1,1125,49,2,FALSE,"TRUE"
"173","FALSE",2,1,933,4.2,-33.92291,18.4234,1,0,0,1,1125,85,5,FALSE,"TRUE"
"174","FALSE",2,1,933,3,-33.92483,18.42346,1,0,0,1,1125,101,1,FALSE,"TRUE"
"175","FALSE",2,1,816,4.5,-33.91901,18.42328,1,0,0,1,1125,96,4,FALSE,"TRUE"
"176","FALSE",2,1,816,4.5,-33.9185,18.42469,1,0,0,1,1125,90,2,FALSE,"TRUE"
"177","FALSE",2,1,1230,5,-33.82312,18.47778,1,0,0,3,60,365,1,FALSE,"FALSE"
"178","FALSE",4,2,1243,4.33,-33.91525,18.41952,0,1,0,2,1125,76,6,FALSE,"TRUE"
"179","FALSE",4,2,1050,4,-33.90026,18.4045,1,0,0,1,1125,30,2,FALSE,"TRUE"
"180","FALSE",2,1,816,4.63,-33.92666,18.41511,0,1,0,1,1125,0,10,TRUE,"TRUE"
"181","TRUE",2,2,3750,4.96,-33.9514,18.38436,1,0,0,5,27,88,181,FALSE,"FALSE"
"182","FALSE",2,1,1214,4.81,-33.91549,18.41952,1,0,0,5,365,328,36,FALSE,"FALSE"
"183","TRUE",2,1,246,4.72,-33.86704,18.50602,0,0,0,1,90,297,83,FALSE,"FALSE"
"184","FALSE",6,3,3500,4.8,-33.95105,18.38041,1,0,0,10,20,32,5,FALSE,"FALSE"
"185","TRUE",6,3,2228,4.92,-34.00644,18.42661,1,0,0,5,1125,258,61,FALSE,"FALSE"
"186","FALSE",4,2,1937,4.38,-34.16258,18.86784,1,0,0,3,1125,365,17,FALSE,"FALSE"
"187","FALSE",4,2,2196,4.95,-33.91093,18.4099,1,0,0,5,65,213,20,FALSE,"FALSE"
"188","TRUE",4,2,1295,4.74,-33.79959,18.46133,1,0,0,2,1125,344,27,FALSE,"FALSE"
"189","FALSE",7,3,563,3.67,-33.83305,18.49519,0,0,0,1,180,365,3,FALSE,"FALSE"
"190","FALSE",4,2,1318,4,-33.86715,18.50101,1,0,0,180,1124,364,6,FALSE,"FALSE"
"191","TRUE",4,2,1300,4.73,-33.92179,18.42015,1,0,0,3,60,190,26,FALSE,"TRUE"
"192","TRUE",2,1,1514,4.9,-33.89995,18.40758,1,0,0,7,1125,355,29,FALSE,"FALSE"
"193","FALSE",4,2,904,5,-33.92085,18.38632,1,0,0,3,21,64,20,FALSE,"FALSE"
"194","FALSE",4,2,1850,4.5,-33.92027,18.39092,1,0,0,5,90,352,8,FALSE,"FALSE"
"195","TRUE",12,6,5743,4.57,-33.96088,18.37709,1,0,0,1,1125,133,7,FALSE,"FALSE"
"196","TRUE",10,5,7743,5,-33.95505,18.38254,1,0,0,1,1125,157,12,FALSE,"FALSE"
"197","FALSE",2,1,800,4,-33.91231,18.39421,1,0,0,5,100,364,3,FALSE,"FALSE"
"198","FALSE",2,1,750,4.86,-33.92698,18.41345,1,0,0,2,1125,212,138,FALSE,"FALSE"
"199","FALSE",2,1,1600,4.82,-33.95814,18.38714,1,0,0,3,1125,91,13,FALSE,"TRUE"
"200","TRUE",2,1,986,4.9,-34.13944,18.38524,1,0,0,2,30,179,21,FALSE,"FALSE"
"201","FALSE",6,3,1000,4.53,-33.97327,18.49164,1,0,0,2,1125,245,109,FALSE,"TRUE"
"202","FALSE",2,1,1584,4.66,-33.95712,18.38302,1,0,0,1,1125,213,118,FALSE,"FALSE"
"203","FALSE",2,1,758,5,-33.91299,18.41547,0,0,0,2,1125,365,4,FALSE,"TRUE"
"204","FALSE",2,1,452,4.67,-33.93327,18.41026,1,0,0,2,1125,145,3,FALSE,"FALSE"
"205","TRUE",3,2,1021,4.85,-33.80808,18.46872,1,0,0,3,1125,236,108,FALSE,"FALSE"
"206","FALSE",4,2,7920,5,-34.09757,18.36212,1,0,0,7,30,358,5,FALSE,"FALSE"
"207","FALSE",2,1,1000,4.58,-33.91483,18.41812,1,0,0,5,365,24,24,FALSE,"FALSE"
"208","FALSE",2,1,1195,4.25,-33.91864,18.39252,0,0,0,1,1125,365,5,FALSE,"FALSE"
"209","TRUE",1,1,400,4.89,-33.908,18.4086,0,0,0,1,60,223,151,FALSE,"FALSE"
"210","FALSE",3,3,3206,4.84,-33.9352,18.3786,1,0,0,3,1125,128,57,FALSE,"FALSE"
"211","TRUE",6,3,2486,5,-34.12495,18.44915,0,0,0,1,1125,111,3,FALSE,"FALSE"
"212","FALSE",2,1,600,4.75,-34.01135,18.44751,0,0,0,1,1125,365,8,FALSE,"FALSE"
"213","FALSE",5,2,1347,4.9,-34.19611,18.42819,1,0,0,1,1125,329,10,FALSE,"TRUE"
"214","FALSE",2,1,2000,4.62,-33.92266,18.41635,1,0,0,5,14,365,22,FALSE,"TRUE"
"215","FALSE",6,3,4500,5,-33.91369,18.39511,1,0,0,2,240,271,1,FALSE,"FALSE"
"216","TRUE",3,1,1250,4.86,-34.25267,18.4742,1,0,0,1,90,341,79,FALSE,"FALSE"
"217","FALSE",2,1,2000,5,-33.91108,18.41112,1,0,0,2,90,363,4,FALSE,"FALSE"
"218","FALSE",4,2,4650,5,-33.93993,18.42901,1,0,0,10,30,365,3,FALSE,"TRUE"
"219","FALSE",12,5,4900,5,-34.03014,18.42844,1,0,0,5,1125,325,3,FALSE,"FALSE"
"220","FALSE",2,1,450,4.67,-33.80065,18.48518,0,0,0,3,1125,363,12,FALSE,"FALSE"
"221","FALSE",2,2,600,4.63,-33.780788,18.454124,0,0,0,1,14,167,8,FALSE,"FALSE"
"222","FALSE",7,3,3500,5,-34.13829,18.32878,1,0,0,2,1125,100,1,FALSE,"FALSE"
"223","TRUE",2,1,945,4.89,-33.93249,18.46177,1,0,0,2,1125,357,18,FALSE,"TRUE"
"224","FALSE",4,1,1461,4.5,-33.85891,18.49011,0,0,0,5,1125,294,2,FALSE,"FALSE"
"225","FALSE",6,4,3500,5,-33.97787,18.48628,1,0,0,10,365,24,2,FALSE,"FALSE"
"226","FALSE",2,1,581,4.73,-33.92213,18.41945,1,0,0,3,365,180,208,FALSE,"TRUE"
"227","FALSE",2,1,1000,5,-33.83539,18.65612,0,0,0,1,1125,364,1,FALSE,"FALSE"
"228","TRUE",2,1,435,4.91,-33.97997,18.45622,1,0,0,2,60,322,129,FALSE,"FALSE"
"229","FALSE",2,1,933,4.5,-33.92527,18.42221,0,1,0,1,1125,0,4,TRUE,"TRUE"
"230","FALSE",4,2,1243,4.63,-33.92654,18.37991,1,0,0,1,1125,35,8,FALSE,"TRUE"
"231","TRUE",8,4,5021,4.86,-33.94968,18.38149,1,0,0,4,1124,255,105,FALSE,"FALSE"
"232","TRUE",3,1,2288,4.91,-33.93848,18.45906,1,0,0,2,30,315,84,FALSE,"FALSE"
"233","FALSE",4,1,2182,0,-33.85812,18.49043,0,0,0,5,1125,287,1,FALSE,"FALSE"
"234","FALSE",2,1,2800,5,-33.8569,18.48995,0,0,0,3,1125,356,9,FALSE,"TRUE"
"235","FALSE",10,5,4261,5,-33.85812,18.49043,1,0,0,5,1125,0,9,TRUE,"FALSE"
"236","TRUE",4,2,960,4.79,-33.92569,18.41474,1,0,0,2,60,5,84,FALSE,"TRUE"
"237","FALSE",6,3,1800,4.8,-34.20985,18.45649,1,0,0,4,180,346,26,FALSE,"FALSE"
"238","FALSE",3,1,550,4.81,-33.98049,18.47595,1,0,0,3,180,363,21,FALSE,"FALSE"
"239","FALSE",6,3,4950,4.24,-34.02665,18.34216,1,0,0,7,1125,342,60,FALSE,"FALSE"
"240","FALSE",3,1,550,4.8,-33.92203,18.3826,1,0,0,3,60,231,25,FALSE,"FALSE"
"241","FALSE",6,3,1056,4.86,-33.7857,18.45472,1,0,0,180,365,4,29,FALSE,"FALSE"
"242","TRUE",2,1,250,5,-33.9091,18.40191,0,0,0,20,1125,320,1,FALSE,"TRUE"
"243","TRUE",4,2,617,4.66,-33.92544,18.42176,1,0,0,15,90,187,35,FALSE,"FALSE"
"244","FALSE",8,3,3161,4.85,-34.09774,18.36616,1,0,0,1,1125,274,28,FALSE,"FALSE"
